Year,Date,Event,Heat,Place,Name,Country,Mark,Reaction Time (s),Medal,Time,Qualified or Season Best,Country
2000,22-Sep,Men 100,9,5,Oscar MENESES,GUAGUA,10.54,0.212,,10.54,,GUA
2000,22-Sep,Men 100,9,6,Shigeyuki KOJIMA,JPNJPN,10.59,0.217,,10.59,,JPN
2000,22-Sep,Men 100,9,7,Caimin DOUGLAS,AHOAHO,10.69,0.259,,10.69,,AHO
2000,22-Sep,Men 100,9,8,Abraham KEPSIN,VANVAN,11.12 PB,0.172,,11.12,PB,VAN
2000,22-Sep,Men 100,9,9,Philam GARCIA,GUMGUM,11.21,0.22,,11.21,,GUM
2000,22-Sep,Men 100,10,1,Jason GARDENER,GBRGBR,10.38 Q,0.188,,10.38,Q,GBR
2000,22-Sep,Men 100,10,2,Lindel FRATER,JAMJAM,10.45 Q,0.154,,10.45,Q,JAM
2000,22-Sep,Men 100,10,3,Kostyantyn RURAK,UKRUKR,10.48 Q,0.224,,10.48,Q,UKR
2000,22-Sep,Men 100,10,4,Sherwin VRIES,NAMNAM,10.53,0.165,,10.53,,NAM
2000,22-Sep,Men 100,10,5,Niconnor ALEXANDER,TTOTTO,10.56,0.149,,10.56,,TTO
2000,22-Sep,Men 100,10,6,Sergey BYCHKOV,RUSRUS,10.68,0.183,,10.68,,RUS
2000,22-Sep,Men 100,10,7,Ruslan RUSIDZE,GEOGEO,10.7,0.166,,10.7,,GEO
2000,22-Sep,Men 100,10,8,Alpha KAMARA,SLESLE,10.74,0.162,,10.74,,SLE
2000,22-Sep,Men 100,10,9,Vitaliy MEDVEDEV,KAZKAZ,10.75,0.209,,10.75,,KAZ
2000,22-Sep,Men 100,11,1,Christopher WILLIAMS,JAMJAM,10.35 Q,0.186,,10.35,Q,JAM
2000,22-Sep,Men 100,11,2,Mathew QUINN,RSARSA,10.44 Q,0.17,,10.44,Q,RSA
2000,22-Sep,Men 100,11,3,Koji ITO,JPNJPN,10.45 Q,0.234,,10.45,Q,JPN
2000,22-Sep,Men 100,11,4,Heber VIERA,URUURU,10.54,0.246,,10.54,,URU
2000,22-Sep,Men 100,11,5,Gabriel SIMÓN,ARGARG,10.56,0.166,,10.56,,ARG
2000,22-Sep,Men 100,11,6,Erwin Heru SUSANTO,INAINA,10.87,0.164,,10.87,,INA
2000,22-Sep,Men 100,11,7,Moumi SEBERGUE,CHACHA,11,0.249,,11,,CHA
2000,22-Sep,Men 100,11,8,Guillermo DONGO,SURSUR,11.1,0.197,,11.1,,SUR
2000,22-Sep,Men 100,11,9,Lucas NELSON,SEYSEY,11.15,0.218,,11.15,,SEY
2000,22-Sep,Men 100,Q1,1,Maurice GREENE,USAUSA,10.10 Q,0.182,,10.1,Q,USA
2000,22-Sep,Men 100,Q1,2,Leonard MYLES-MILLS,GHAGHA,10.23 Q,0.145,,10.23,Q,GHA
2000,22-Sep,Men 100,Q1,3,Sunday EMMANUEL,NGRNGR,10.36 Q,0.165,,10.36,Q,NGR
2000,22-Sep,Men 100,Q1,4,Marcin NOWAK,POLPOL,10.37,0.186,,10.37,,POL
2000,22-Sep,Men 100,Q1,5,Sayon COOPER,LBRLBR,10.37,0.147,,10.37,,LBR
2000,22-Sep,Men 100,Q1,6,Ibrahim MEITÉ,CIVCIV,10.4,0.191,,10.4,,CIV
2000,22-Sep,Men 100,Q1,7,Serge BENGONO,CMRCMR,10.46,0.222,,10.46,,CMR
2000,22-Sep,Men 100,Q1,8,Shingo KAWABATA,JPNJPN,10.6,0.184,,10.6,,JPN
2000,22-Sep,Men 100,Q2,1,Ato BOLDON,TTOTTO,10.11 Q,0.155,,10.11,Q,TTO
2000,22-Sep,Men 100,Q2,2,Kim COLLINS,SKNSKN,10.19 Q,0.222,,10.19,Q,SKN
2000,22-Sep,Men 100,Q2,3,Bruny SURIN,CANCAN,10.20 Q,0.13,,10.2,Q,CAN
2000,22-Sep,Men 100,Q2,4,Jason GARDENER,GBRGBR,10.27,0.177,,10.27,,GBR
2000,22-Sep,Men 100,Q2,5,Christopher WILLIAMS,JAMJAM,10.3,0.187,,10.3,,JAM
2000,22-Sep,Men 100,Q2,6,Freddy MAYOLA,CUBCUB,10.35,0.144,,10.35,,CUB
2000,22-Sep,Men 100,Q2,7,Piotr BALCERZAK,POLPOL,10.38,0.152,,10.38,,POL
2000,22-Sep,Men 100,Q2,8,Martin LACHKOVICS,AUTAUT,10.44,0.189,,10.44,,AUT
2000,22-Sep,Men 100,Q2,9,Joseph BATANGDON,CMRCMR,10.52,0.231,,10.52,,CMR
2000,22-Sep,Men 100,Q3,1,Obadele THOMPSON,BARBAR,10.04 Q,0.187,,10.04,Q,BAR
2000,22-Sep,Men 100,Q3,2,Matthew SHIRVINGTON,AUSAUS,10.13 Q,0.142,,10.13,Q,AUS
2000,22-Sep,Men 100,Q3,3,Aziz ZAKARI,GHAGHA,10.22 Q,0.193,,10.22,Q,GHA
2000,22-Sep,Men 100,Q3,4,Lindel FRATER,JAMJAM,10.23 q,0.185,,10.23,q,JAM
2000,22-Sep,Men 100,Q3,5,Vicente DE LIMA,BRABRA,10.28,0.191,,10.28,,BRA
2000,22-Sep,Men 100,Q3,6,David PATROS,FRAFRA,10.33,0.241,,10.33,,FRA
2000,22-Sep,Men 100,Q3,7,Kostyantyn RURAK,UKRUKR,10.38,0.191,,10.38,,UKR
2000,22-Sep,Men 100,Q3,8,Donovan BAILEY,CANCAN,11.36,0.216,,11.36,,CAN
2000,22-Sep,Men 100,Q4,1,Dwain CHAMBERS,GBRGBR,10.12 Q,0.15,,10.12,Q,GBR
2000,22-Sep,Men 100,Q4,2,Jon DRUMMOND,USAUSA,10.15 Q,0.145,,10.15,Q,USA
2000,22-Sep,Men 100,Q4,3,Koji ITO,JPNJPN,10.25 Q SB,0.221,,10.25,Q,JPN
2000,22-Sep,Men 100,Q4,4,Stéphane BUCKLAND,MRIMRI,10.26,0.15,,10.26,,MRI
2000,22-Sep,Men 100,Q4,5,Antoine BOUSSOMBO,GABGAB,10.27,0.19,,10.27,,GAB
2000,22-Sep,Men 100,Q4,6,Stefano TILLI,ITAITA,10.27,0.162,,10.27,,ITA
2000,22-Sep,Men 100,Q4,7,Mathew QUINN,RSARSA,10.27,0.157,,10.27,,RSA
2000,22-Sep,Men 100,Q4,8,Patrick JARRETT,JAMJAM,16.4,0.184,,16.4,,JAM
2000,22-Sep,Men 100,Q5,1,Darren CAMPBELL,GBRGBR,10.21 Q,0.229,,10.21,Q,GBR
2000,22-Sep,Men 100,Q5,2,Curtis JOHNSON,USAUSA,10.24 Q,0.142,,10.24,Q,USA
2000,22-Sep,Men 100,Q5,3,Deji ALIU,NGRNGR,10.29 Q,0.181,,10.29,Q,NGR
2000,22-Sep,Men 100,Q5,4,Yeóryios THEODORÍDIS,GREGRE,10.29,0.144,,10.29,,GRE
2000,22-Sep,Men 100,Q5,5,Patrick JOHNSON,AUSAUS,10.44,0.236,,10.44,,AUS
2000,22-Sep,Men 100,Q5,6,Cláudio Roberto SOUZA,BRABRA,10.47,0.182,,10.47,,BRA
2000,22-Sep,Men 100,Q5,7,Anninos MARCOULLIDES,CYPCYP,10.48,0.183,,10.48,,CYP
2000,22-Sep,Men 100,Q5,8,Venancio JOSÉ,ESPESP,10.53,0.189,,10.53,,ESP
2000,23-Sep,Men 100,S1,1,Dwain CHAMBERS,GBRGBR,10.14 Q,0.164,,10.14,Q,GBR
2000,23-Sep,Men 100,S1,2,Obadele THOMPSON,BARBAR,10.15 Q,0.189,,10.15,Q,BAR
2000,23-Sep,Men 100,S1,3,Darren CAMPBELL,GBRGBR,10.19 Q,0.161,,10.19,Q,GBR
2000,23-Sep,Men 100,S1,4,Kim COLLINS,SKNSKN,10.20 Q,0.184,,10.2,Q,SKN
2000,23-Sep,Men 100,S1,5,Leonard MYLES-MILLS,GHAGHA,10.25,0.22,,10.25,,GHA
2000,23-Sep,Men 100,S1,6,Curtis JOHNSON,USAUSA,10.27,0.146,,10.27,,USA
2000,23-Sep,Men 100,S1,7,Koji ITO,JPNJPN,10.39,0.217,,10.39,,JPN
2000,23-Sep,Men 100,S1,8,Lindel FRATER,JAMJAM,10.46,0.203,,10.46,,JAM
2000,23-Sep,Men 100,S2,1,Maurice GREENE,USAUSA,10.06 Q,0.227,,10.06,Q,USA
2000,23-Sep,Men 100,S2,2,Jon DRUMMOND,USAUSA,10.10 Q,0.137,,10.1,Q,USA
2000,23-Sep,Men 100,S2,3,Ato BOLDON,TTOTTO,10.13 Q,0.212,,10.13,Q,TTO
2000,23-Sep,Men 100,S2,4,Aziz ZAKARI,GHAGHA,10.16 Q,0.236,,10.16,Q,GHA
2000,23-Sep,Men 100,S2,5,Matthew SHIRVINGTON,AUSAUS,10.26,0.166,,10.26,,AUS
2000,23-Sep,Men 100,S2,6,Deji ALIU,NGRNGR,10.32,0.253,,10.32,,NGR
2000,23-Sep,Men 100,S2,7,Sunday EMMANUEL,NGRNGR,10.45,0.163,,10.45,,NGR
2000,23-Sep,Men 100,S2,8,Bruny SURIN,CANCAN,50.94,0.151,,50.94,,CAN
2000,23-Sep,Men 100,F,1,Maurice GREENE,USAUSA,9.87,0.197,G,9.87,,USA
2000,23-Sep,Men 100,F,2,Ato BOLDON,TTOTTO,9.99,0.136,S,9.99,,TTO
2000,23-Sep,Men 100,F,3,Obadele THOMPSON,BARBAR,10.04,0.216,B,10.04,,BAR
2000,23-Sep,Men 100,F,4,Dwain CHAMBERS,GBRGBR,10.08 SB,0.174,,10.08,SB,GBR
2000,23-Sep,Men 100,F,5,Jon DRUMMOND,USAUSA,10.09,0.147,,10.09,,USA
2000,23-Sep,Men 100,F,6,Darren CAMPBELL,GBRGBR,10.13,0.193,,10.13,,GBR
2000,23-Sep,Men 100,F,7,Kim COLLINS,SKNSKN,10.17,0.21,,10.17,,SKN
2000,23-Sep,Men 100,F,,Aziz ZAKARI,GHAGHA,DNF,0.18,,DNF,,GHA
2000,22-Sep,Female 100,1,1,Savatheda FYNES,BAHBAH,11.18 Q,0.164,,11.18,Q,BAH
2000,22-Sep,Female 100,1,2,Myriam Léonie MANI,CMRCMR,11.24 Q,0.152,,11.24,Q,CMR
2000,22-Sep,Female 100,1,3,Valma BASS,SKNSKN,11.45 Q,0.174,,11.45,Q,SKN
2000,22-Sep,Female 100,1,4,Karin MAYR-KRIFKA,AUTAUT,11.5,0.166,,11.5,,AUT
2000,22-Sep,Female 100,1,5,Joice MADUAKA,GBRGBR,11.51,0.23,,11.51,,GBR
2000,22-Sep,Female 100,1,6,Martha ADUSEI,CANCAN,11.82,0.254,,11.82,,CAN
2000,22-Sep,Female 100,1,7,Mari Paz MOSANGA MOTANGA,GEQGEQ,12.91,0.281,,12.91,,GEQ
2000,22-Sep,Female 100,1,8,Ismenia FREDERICO,CPVCPV,12.99,0.19,,12.99,,CPV
2000,22-Sep,Female 100,2,1,Christine ARRON,FRAFRA,11.42 Q,0.261,,11.42,Q,FRA
2000,22-Sep,Female 100,2,2,Lyubov PEREPELOVA,UZBUZB,11.48 Q,0.256,,11.48,Q,UZB
2000,22-Sep,Female 100,2,3,Sarah REILLY,IRLIRL,11.56 Q,0.181,,11.56,Q,IRL
2000,22-Sep,Female 100,2,4,Natasha MAYERS,VINVIN,11.61,0.215,,11.61,,VIN
2000,22-Sep,Female 100,2,5,Aminata DIOUF,SENSEN,11.65,0.234,,11.65,,SEN
2000,22-Sep,Female 100,2,6,Fana ASHBY,TTOTTO,11.85,0.243,,11.85,,TTO
2000,22-Sep,Female 100,2,7,Peoria KOSHIBA,PLWPLW,12.66 NR,0.239,,12.66,NR,PLW
2000,22-Sep,Female 100,2,8,Jenny KENI,SOLSOL,13.01,0.275,,13.01,,SOL
2000,22-Sep,Female 100,3,1,Zhanna BLOCK,UKRUKR,11.27 Q,0.215,,11.27,Q,UKR
2000,22-Sep,Female 100,3,2,Beverly MCDONALD,JAMJAM,11.36 Q,0.181,,11.36,Q,JAM
2000,22-Sep,Female 100,3,3,Joan Uduak EKAH,NGRNGR,11.60 Q,0.173,,11.6,Q,NGR
2000,22-Sep,Female 100,3,4,Ayanna HUTCHINSON,TTOTTO,11.78,0.248,,11.78,,TTO
2000,22-Sep,Female 100,3,5,Lerma GABITO,PHIPHI,12.08,0.261,,12.08,,PHI
2000,22-Sep,Female 100,3,6,Vukosava DJAPIC,SCGSCG,12.12,0.183,,12.12,,SCG
2000,22-Sep,Female 100,3,7,Emma WADE,BIZBIZ,12.25 PB,0.164,,12.25,PB,BIZ
2000,22-Sep,Female 100,3,8,Luz Marina GEERMAN,ARUARU,12.96,0.242,,12.96,,ARU
2000,22-Sep,Female 100,4,1,Susanthika JAYASINGHE,SRISRI,11.15 Q,0.206,,11.15,Q,SRI
2000,22-Sep,Female 100,4,2,Anzhela KRAVCHENKO,UKRUKR,11.35 Q,0.234,,11.35,Q,UKR
2000,22-Sep,Female 100,4,3,Mary ONYALI-OMAGBEMI,NGRNGR,11.36 Q,0.192,,11.36,Q,NGR
2000,22-Sep,Female 100,4,4,Lauren HEWITT,AUSAUS,11.42 q,0.202,,11.42,q,AUS
2000,22-Sep,Female 100,4,5,Mireille DONDERS,SUISUI,11.63,0.169,,11.63,,SUI
2000,22-Sep,Female 100,4,6,Heidi HANNULA,FINFIN,11.68,0.228,,11.68,,FIN
2000,22-Sep,Female 100,4,7,Lina BEJJANI,LBNLBN,12.98,,,12.98,,LBN
2000,22-Sep,Female 100,4,8,Regina SHOTARO,FSMFSM,13.69,0.272,,13.69,,FSM
2000,22-Sep,Female 100,5,1,Ekateríni THÁNOU,GREGRE,11.10 Q,0.155,,11.1,Q,GRE
2000,22-Sep,Female 100,5,2,Iryna PUKHA,UKRUKR,11.41 Q,0.154,,11.41,Q,UKR
2000,22-Sep,Female 100,5,3,Hanitriniaina RAKOTONDRABE,MADMAD,11.50 Q,0.19,,11.5,Q,MAD
2000,22-Sep,Female 100,5,4,Heather SAMUEL,ANTANT,11.62,0.169,,11.62,,ANT
2000,22-Sep,Female 100,5,5,Viktoriya KOVIYREVA,KAZKAZ,11.72,0.225,,11.72,,KAZ
2000,22-Sep,Female 100,5,6,Agné EGGERTH,LTULTU,11.87,0.277,,11.87,,LTU
2000,22-Sep,Female 100,5,7,Devi Maya PANERU,NEPNEP,12.74,0.17,,12.74,,NEP
2000,22-Sep,Female 100,5,8,Foujia HUDA,BANBAN,12.75,0.214,,12.75,,BAN
2000,22-Sep,Female 100,5,9,M'Mah TOURE,GUIGUI,12.82,0.259,,12.82,,GUI
2000,22-Sep,Female 100,6,1,Sandra CITTE,FRAFRA,11.47 Q,0.182,,11.47,Q,FRA
2000,22-Sep,Female 100,6,2,Monica TWUM,GHAGHA,11.48 Q,0.172,,11.48,Q,GHA
2000,22-Sep,Female 100,6,3,Marina TRANDENKOVA,RUSRUS,11.51,0.178,,11.51,,RUS
2000,22-Sep,Female 100,6,4,Shani ANDERSON,GBRGBR,11.55,0.19,,11.55,,GBR
2000,22-Sep,Female 100,6,5,Ekundayo WILLIAMS,SLESLE,12.19,0.256,,12.19,,SLE
2000,22-Sep,Female 100,6,6,Laure KUETEY,BENBEN,12.4,0.201,,12.4,,BEN
2000,22-Sep,Female 100,6,7,Shamha AHMED,MDVMDV,12.87,,,12.87,,MDV
2000,22-Sep,Female 100,6,,Marion JONES,USAUSA,DQ,0.165,,DQ,,USA
